Number of points: 232050
NW:(40.700000 , -74.000000)
Partition   91000000 : [   5,  2006]
Partition  112000000 : [   2,  2114]
Partition   93000000 : [   2,  2040]
Partition  155000000 : [   2,  2169]
Partition   40000000 : [   3,  1966]
Partition  139000000 : [   2,  2203]
Partition  142000000 : [   3,  2198]
Partition   71000000 : [   3,  2089]
Partition   96000000 : [   2,  2349]
Partition  162000000 : [   3,  2314]
Partition  150000000 : [   2,  2573]
Partition  161000000 : [   1,  2363]
Partition  165000000 : [   1,  2477]
Partition  119000000 : [   3,  2493]
Partition  151000000 : [   3,  2689]
Partition   94000000 : [   1,  2509]
Partition  145000000 : [   4,  2537]
Partition  103000000 : [   1,  2647]
Partition  108000000 : [   1,  2672]
Partition  172000000 : [   3,  2699]
Partition   62000000 : [   2,  2697]
Partition   83000000 : [   1,  2584]
Partition   73000000 : [   2,  2672]
Partition   84000000 : [   2,  2899]
Partition   81000000 : [   2,  2913]
Partition   82000000 : [   1,  2747]
Partition  115000000 : [   1,  2838]
Partition   95000000 : [   1,  2664]
Partition  101000000 : [   5,  2919]
Partition  134000000 : [   2,  2981]
Partition  113000000 : [   3,  2977]
Partition   72000000 : [   2,  3126]
Partition  105000000 : [   1,  3222]
Partition   92000000 : [   1,  3335]
Partition  129000000 : [   3,  3825]
Partition  116000000 : [   1,  3614]
Partition  135000000 : [   2,  3664]
Partition  124000000 : [   1,  3714]
Partition  126000000 : [   1,  3765]
Partition  114000000 : [   1,  3914]
Partition  118000000 : [   1,  4083]
Partition  102000000 : [   1,  4119]
Partition  107000000 : [   1,  4252]
Partition  125000000 : [   1,  4512]
Partition  117000000 : [   1,  4727]
Partition  106000000 : [   1,  5278]
Partition  127000000 : [   1,  5407]
Partition  128000000 : [   1,  5836]

Execution time: 25.6584676s of 255300 points
